"","Names","Links","url","dob"
"1920.1","STROEMSHEIM Endre","/athletes/id/btnor10509199701/","https://www.biathlonworld.com/athletes/id/btnor10509199701/",1997-09-05
"1920.2","FRATZSCHER Lucas","/athletes/id/btger10607199401/","https://www.biathlonworld.com/athletes/id/btger10607199401/",1994-07-06
"1920.3","STRELTSOV Kirill","/athletes/id/btrus12702199601/","https://www.biathlonworld.com/athletes/id/btrus12702199601/",1996-02-27
"1920.4","BOGETVEIT Haavard Gutuboe","/athletes/id/btnor10306199201/","https://www.biathlonworld.com/athletes/id/btnor10306199201/",1992-06-03
"1920.5","GJESBAKK Fredrik","/athletes/id/btnor11509199201/","https://www.biathlonworld.com/athletes/id/btnor11509199201/",1992-09-15
"1920.6","PERRILLAT BOTTONET Martin","/athletes/id/btfra10511199701/","https://www.biathlonworld.com/athletes/id/btfra10511199701/",1997-11-05
"1920.7","NAWRATH Philipp","/athletes/id/btger11302199301/","https://www.biathlonworld.com/athletes/id/btger11302199301/",1993-02-13
"1920.8","KRYUKO Viktar","/athletes/id/btblr11309199501/","https://www.biathlonworld.com/athletes/id/btblr11309199501/",1995-09-13
"1920.9","PETTERSEN Sindre","/athletes/id/btnor10311199601/","https://www.biathlonworld.com/athletes/id/btnor10311199601/",1996-11-03
"1920.10","TOMSHIN Vasilii","/athletes/id/btrus11101199701/","https://www.biathlonworld.com/athletes/id/btrus11101199701/",1997-01-11
"1920.11","REES Roman","/athletes/id/btger10103199301/","https://www.biathlonworld.com/athletes/id/btger10103199301/",1993-03-01
"1920.12","KHALILI Said Karimulla","/athletes/id/btrus10209199801/","https://www.biathlonworld.com/athletes/id/btrus10209199801/",1998-09-02
"1920.13","DOTSENKO Andriy","/athletes/id/btukr10712199401/","https://www.biathlonworld.com/athletes/id/btukr10712199401/",1994-12-07
"1920.14","HORNIG Vitezslav","/athletes/id/btcze12604199901/","https://www.biathlonworld.com/athletes/id/btcze12604199901/",1999-04-26
"1920.15","JORDE Sindre Fjellheim","/athletes/id/btnor11302199601/","https://www.biathlonworld.com/athletes/id/btnor11302199601/",1996-02-13
"1920.16","SEMENOV Sergii","/athletes/id/btukr12807198801/","https://www.biathlonworld.com/athletes/id/btukr12807198801/",1988-07-28
