"","Names","Links","urls","dob"
"1920.1","FOURCADE Martin","/athletes/id/btfra11409198801/","https://www.biathlonworld.com/athletes/id/btfra11409198801/",1988-09-14
"1920.2","DESTHIEUX Simon","/athletes/id/btfra10312199101/","https://www.biathlonworld.com/athletes/id/btfra10312199101/",1991-12-03
"1920.3","FILLON MAILLET Quentin","/athletes/id/btfra11608199201/","https://www.biathlonworld.com/athletes/id/btfra11608199201/",1992-08-16
"1920.4","BOE Johannes Thingnes","/athletes/id/btnor11605199301/","https://www.biathlonworld.com/athletes/id/btnor11605199301/",1993-05-16
"1920.5","LOGINOV Alexander","/athletes/id/btrus13101199201/","https://www.biathlonworld.com/athletes/id/btrus13101199201/",1992-01-31
"1920.6","BOE Tarjei","/athletes/id/btnor12907198801/","https://www.biathlonworld.com/athletes/id/btnor12907198801/",1988-07-29
"1920.7","JACQUELIN Emilien","/athletes/id/btfra11107199501/","https://www.biathlonworld.com/athletes/id/btfra11107199501/",1995-07-11
"1920.8","BJOENTEGAARD Erlend","/athletes/id/btnor13007199001/","https://www.biathlonworld.com/athletes/id/btnor13007199001/",1990-07-30
"1920.9","DOLL Benedikt","/athletes/id/btger12403199001/","https://www.biathlonworld.com/athletes/id/btger12403199001/",1990-03-24
"1920.10","DALE Johannes","/athletes/id/btnor12305199701/","https://www.biathlonworld.com/athletes/id/btnor12305199701/",1997-05-23
"1920.11","ELISEEV Matvey","/athletes/id/btrus13103199301/","https://www.biathlonworld.com/athletes/id/btrus13103199301/",1993-03-31
"1920.12","KUEHN Johannes","/athletes/id/btger11911199101/","https://www.biathlonworld.com/athletes/id/btger11911199101/",1991-11-19
"1920.13","CHRISTIANSEN Vetle Sjaastad","/athletes/id/btnor11205199201/","https://www.biathlonworld.com/athletes/id/btnor11205199201/",1992-05-12
"1920.14","PEIFFER Arnd","/athletes/id/btger11803198701/","https://www.biathlonworld.com/athletes/id/btger11803198701/",1987-03-18
"1920.15","FAK Jakov","/athletes/id/btcro10108198701/","https://www.biathlonworld.com/athletes/id/btcro10108198701/",1987-08-01
"1920.16","EBERHARD Julian","/athletes/id/btaut10911198601/","https://www.biathlonworld.com/athletes/id/btaut10911198601/",1986-11-09
"1920.17","HOFER Lukas","/athletes/id/btita13009198901/","https://www.biathlonworld.com/athletes/id/btita13009198901/",1989-09-30
"1920.18","PIDRUCHNYI Dmytro","/athletes/id/btukr10511199101/","https://www.biathlonworld.com/athletes/id/btukr10511199101/",1991-11-05
"1920.19","HORN Philipp","/athletes/id/btger10811199401/","https://www.biathlonworld.com/athletes/id/btger10811199401/",1994-11-08
"1920.20","CLAUDE Fabien","/athletes/id/btfra12212199401/","https://www.biathlonworld.com/athletes/id/btfra12212199401/",1994-12-22
"1920.21","WINDISCH Dominik","/athletes/id/btita10611198901/","https://www.biathlonworld.com/athletes/id/btita10611198901/",1989-11-06
"1920.22","KRCMAR Michal","/athletes/id/btcze12301199101/","https://www.biathlonworld.com/athletes/id/btcze12301199101/",1991-01-23
"1920.23","EDER Simon","/athletes/id/btaut12302198301/","https://www.biathlonworld.com/athletes/id/btaut12302198301/",1983-02-23
"1920.24","ILIEV Vladimir","/athletes/id/btbul11703198701/","https://www.biathlonworld.com/athletes/id/btbul11703198701/",1987-03-17
"1920.25","RASTORGUJEVS Andrejs","/athletes/id/btlat12705198801/","https://www.biathlonworld.com/athletes/id/btlat12705198801/",1988-05-27
"1920.26","LEITNER Felix","/athletes/id/btaut13112199601/","https://www.biathlonworld.com/athletes/id/btaut13112199601/",1996-12-31
"1920.27","PRYMA Artem","/athletes/id/btukr13004198701/","https://www.biathlonworld.com/athletes/id/btukr13004198701/",1987-05-30
"1920.28","MORAVEC Ondrej","/athletes/id/btcze10906198401/","https://www.biathlonworld.com/athletes/id/btcze10906198401/",1984-06-09
"1920.29","SCHEMPP Simon","/athletes/id/btger11411198801/","https://www.biathlonworld.com/athletes/id/btger11411198801/",1988-11-14
"1920.30","WEGER Benjamin","/athletes/id/btsui10510198901/","https://www.biathlonworld.com/athletes/id/btsui10510198901/",1989-10-05
"1920.31","CLAUDE Florent","/athletes/id/btfra11111199101/","https://www.biathlonworld.com/athletes/id/btfra11111199101/",1991-11-11
"1920.32","GUIGONNAT Antonin","/athletes/id/btfra10207199101/","https://www.biathlonworld.com/athletes/id/btfra10207199101/",1991-07-02
