"","Names","Links","url","dob"
"1920.1","GLAZYRINA Ekaterina","/athletes/id/btrus22204198701/","https://www.biathlonworld.com/athletes/id/btrus22204198701/",1987-04-22 00:00:00
"1920.2","STARYKH Irina","/athletes/id/btrus22608198701/","https://www.biathlonworld.com/athletes/id/btrus22608198701/",1987-08-26 00:00:00
"1920.3","ERDAL Karoline","/athletes/id/btnor21511199701/","https://www.biathlonworld.com/athletes/id/btnor21511199701/",1997-11-15 00:00:00
"1920.4","PORSHNEVA Anastasiia","/athletes/id/btrus23107199401/","https://www.biathlonworld.com/athletes/id/btrus23107199401/",1994-07-31 00:00:00
"1920.5","VOIGT Vanessa","/athletes/id/btger20710199701/","https://www.biathlonworld.com/athletes/id/btger20710199701/",1997-10-07 00:00:00
"1920.6","HOEGBERG Elisabeth","/athletes/id/btswe20711198601/","https://www.biathlonworld.com/athletes/id/btswe20711198601/",1986-11-07 00:00:00
"1920.7","RUNGGALDIER Alexia","/athletes/id/btita22711199101/","https://www.biathlonworld.com/athletes/id/btita22711199101/",1991-11-27 00:00:00
"1920.8","GERBULOVA Natalia","/athletes/id/btrus21710199501/","https://www.biathlonworld.com/athletes/id/btrus21710199501/",1995-10-17 00:00:00
"1920.9","SHEVNINA Polina","/athletes/id/btrus22912199701/","https://www.biathlonworld.com/athletes/id/btrus22912199701/",1997-12-29 00:00:00
"1920.10","MERKUSHYNA Anastasiya","/athletes/id/btukr21401199501/","https://www.biathlonworld.com/athletes/id/btukr21401199501/",1995-01-14 00:00:00
"1920.11","MAGNUSSON Anna","/athletes/id/btswe23103199501/","https://www.biathlonworld.com/athletes/id/btswe23103199501/",1995-03-31 00:00:00
"1920.12","LIEN Ida","/athletes/id/btnor20504199701/","https://www.biathlonworld.com/athletes/id/btnor20504199701/",1997-04-05 00:00:00
"1920.13","JEANMONNOT Lou","/athletes/id/btfra22810199801/","https://www.biathlonworld.com/athletes/id/btfra22810199801/",1998-10-28 00:00:00
"1920.14","ABRAMOVA Olga","/athletes/id/btrus21509198801/","https://www.biathlonworld.com/athletes/id/btrus21509198801/",1988-09-15 10:00:00
"1920.15","SKOTTHEIM Johanna","/athletes/id/btswe22905199401/","https://www.biathlonworld.com/athletes/id/btswe22905199401/",1994-05-29 00:00:00
"1920.16","CADURISCH Irene","/athletes/id/btsui22310199101/","https://www.biathlonworld.com/athletes/id/btsui22310199101/",1991-10-23 00:00:00
"1920.17","MEINEN Susanna","/athletes/id/btsui21905199201/","https://www.biathlonworld.com/athletes/id/btsui21905199201/",1992-05-19 00:00:00
"1920.18","GUIGONNAT Gilonne","/athletes/id/btfra22611199801/","https://www.biathlonworld.com/athletes/id/btfra22611199801/",1998-11-26 00:00:00
"1920.19","SCHERER Stefanie","/athletes/id/btger21305199601/","https://www.biathlonworld.com/athletes/id/btger21305199601/",1996-05-13 00:00:00
"1920.20","HAMMERSCHMIDT Maren","/athletes/id/btger22410198902/","https://www.biathlonworld.com/athletes/id/btger22410198902/",1989-10-24 00:00:00
"1920.21","ANDERSSON Ingela","/athletes/id/btswe21607199101/","https://www.biathlonworld.com/athletes/id/btswe21607199101/",1991-07-16 00:00:00
"1920.22","DEIGENTESCH Marion","/athletes/id/btger20801199501/","https://www.biathlonworld.com/athletes/id/btger20801199501/",1995-01-08 00:00:00
"1920.23","ZHURAVOK Yuliia","/athletes/id/btukr21011199401/","https://www.biathlonworld.com/athletes/id/btukr21011199401/",1994-11-10 00:00:00
"1920.24","BENED Camille","/athletes/id/btfra20609200001/","https://www.biathlonworld.com/athletes/id/btfra20609200001/",2000-09-06 00:00:00
"1920.25","ENODD Jenny","/athletes/id/btnor22503199601/","https://www.biathlonworld.com/athletes/id/btnor22503199601/",1996-03-25 00:00:00
"1920.26","LINDQVIST Felicia","/athletes/id/btswe22304199501/","https://www.biathlonworld.com/athletes/id/btswe22304199501/",1995-04-23 00:00:00
"1920.27","BEKH Ekaterina","/athletes/id/btrus21908199801/","https://www.biathlonworld.com/athletes/id/btrus21908199801/",1998-08-19 00:00:00
"1920.28","LIGHTFOOT Amanda","/athletes/id/btgbr23001198701/","https://www.biathlonworld.com/athletes/id/btgbr23001198701/",1987-01-30 00:00:00
"1920.29","HORCHLER Karolin","/athletes/id/btger20905198901/","https://www.biathlonworld.com/athletes/id/btger20905198901/",1989-05-09 00:00:00
"1920.30","BIELKINA Nadiia","/athletes/id/btukr23009199001/","https://www.biathlonworld.com/athletes/id/btukr23009199001/",1990-09-30 00:00:00
"1920.31","FRUEHWIRT Juliane","/athletes/id/btger21803199801/","https://www.biathlonworld.com/athletes/id/btger21803199801/",1998-03-18 00:00:00
"1920.32","HEDSTROM Anna","/athletes/id/btswe22104199701/","https://www.biathlonworld.com/athletes/id/btswe22104199701/",1997-04-21 00:00:00
"1920.33","PIDHRUSHNA Olena","/athletes/id/btukr20901198701/","https://www.biathlonworld.com/athletes/id/btukr20901198701/",1987-01-09 00:00:00
"1920.34","HETTICH Janina","/athletes/id/btger21606199601/","https://www.biathlonworld.com/athletes/id/btger21606199601/",1996-06-16 00:00:00
"1920.35","SLIVKO Victoria","/athletes/id/btrus20505199401/","https://www.biathlonworld.com/athletes/id/btrus20505199401/",1994-05-05 00:00:00
"1920.36","PAVLOVA Evgeniya","/athletes/id/btrus20907199301/","https://www.biathlonworld.com/athletes/id/btrus20907199301/",1993-07-09 00:00:00
"1920.37","KRYVONOS Anna","/athletes/id/btukr22509199701/","https://www.biathlonworld.com/athletes/id/btukr22509199701/",1997-09-25 00:00:00
"1920.38","KAZAKEVICH Irina","/athletes/id/btrus22910199701/","https://www.biathlonworld.com/athletes/id/btrus22910199701/",1997-10-29 00:00:00
"1920.39","NILSSON Emma","/athletes/id/btswe21811199302/","https://www.biathlonworld.com/athletes/id/btswe21811199302/",1993-11-18 00:00:00
"1920.40","CHAUVEAU Sophie","/athletes/id/btfra21206199901/","https://www.biathlonworld.com/athletes/id/btfra21206199901/",1999-06-12 00:00:00
"1920.41","DI LALLO Sabine","/athletes/id/btsui20907199401/","https://www.biathlonworld.com/athletes/id/btsui20907199401/",1994-07-09 00:00:00
"1920.42","WEIDEL Anna","/athletes/id/btger22505199601/","https://www.biathlonworld.com/athletes/id/btger22505199601/",1996-05-25 00:00:00
"1920.43","BEGUE Myrtille","/athletes/id/btfra20602199701/","https://www.biathlonworld.com/athletes/id/btfra20602199701/",1997-02-06 00:00:00
"1920.44","LARDSCHNEIDER Irene","/athletes/id/btita20902199801/","https://www.biathlonworld.com/athletes/id/btita20902199801/",1998-02-09 00:00:00
"1920.45","CARRARA Michela","/athletes/id/btita21005199701/","https://www.biathlonworld.com/athletes/id/btita21005199701/",1997-05-10 00:00:00
"1920.46","DICKINSON Kelsey Joan","/athletes/id/btusa23007199301/","https://www.biathlonworld.com/athletes/id/btusa23007199301/",1993-07-30 00:00:00
"1920.47","JURCOVA Natalie","/athletes/id/btcze20912199701/","https://www.biathlonworld.com/athletes/id/btcze20912199701/",1997-12-09 00:00:00
"1920.48","FENNE Hilde","/athletes/id/btnor21205199301/","https://www.biathlonworld.com/athletes/id/btnor21205199301/",1993-05-12 00:00:00
"1920.49","SOLEMDAL Synnoeve","/athletes/id/btnor21505198901/","https://www.biathlonworld.com/athletes/id/btnor21505198901/",1989-05-15 00:00:00
"1920.50","HEINRICH Marie","/athletes/id/btger21811199401/","https://www.biathlonworld.com/athletes/id/btger21811199401/",1994-11-18 00:00:00
"1920.51","LUNDSTROEM Amanda","/athletes/id/btswe23101199901/","https://www.biathlonworld.com/athletes/id/btswe23101199901/",1999-01-31 00:00:00
"1920.52","KALKENBERG Emilie Aagheim","/athletes/id/btnor20607199701/","https://www.biathlonworld.com/athletes/id/btnor20607199701/",1997-07-06 00:00:00
"1920.53","SLETTEMARK Ukaleq Astri","/athletes/id/btgrl20909200101/","https://www.biathlonworld.com/athletes/id/btgrl20909200101/",2001-09-09 00:00:00
