"","Names","Links","url","dob"
"1920.1","BASERGA Amy","/athletes/id/btsui22909200001/","https://www.biathlonworld.com/athletes/id/btsui22909200001/",2000-09-29
"1920.2","SPARK Lisa Maria","/athletes/id/btger20705200001/","https://www.biathlonworld.com/athletes/id/btger20705200001/",2000-05-07
"1920.3","GEMBICKA Daria","/athletes/id/btpol20709200101/","https://www.biathlonworld.com/athletes/id/btpol20709200101/",2001-09-07
"1920.4","RASSKAZOVA Anastasiia","/athletes/id/btrus22507199801/","https://www.biathlonworld.com/athletes/id/btrus22507199801/",1998-07-25
"1920.5","BOTET Paula","/athletes/id/btfra21912200001/","https://www.biathlonworld.com/athletes/id/btfra21912200001/",2000-12-19
"1920.6","TRABUCCHI Beatrice","/athletes/id/btita23009200001/","https://www.biathlonworld.com/athletes/id/btita23009200001/",2000-09-30
"1920.7","BRAUN Sabrina","/athletes/id/btger20105200002/","https://www.biathlonworld.com/athletes/id/btger20105200002/",2000-05-01
"1920.8","BOUCAUD Laura","/athletes/id/btfra20707200001/","https://www.biathlonworld.com/athletes/id/btfra20707200001/",2000-07-07
"1920.9","KLEMENCIC Ziva","/athletes/id/btslo20701200101/","https://www.biathlonworld.com/athletes/id/btslo20701200101/",2001-01-07
"1920.10","BARTHELEMY Thais","/athletes/id/btfra22703200001/","https://www.biathlonworld.com/athletes/id/btfra22703200001/",2000-03-27
"1920.11","SLETTEMARK Ukaleq Astri","/athletes/id/btgrl20909200101/","https://www.biathlonworld.com/athletes/id/btgrl20909200101/",2001-09-09
"1920.12","MOSKALENKO Oksana","/athletes/id/btukr20101200001/","https://www.biathlonworld.com/athletes/id/btukr20101200001/",2000-01-01
"1920.13","TOMASZEWSKA Natalia","/athletes/id/btpol20909199801/","https://www.biathlonworld.com/athletes/id/btpol20909199801/",1998-09-09
"1920.14","MEIER Lea","/athletes/id/btsui20203200101/","https://www.biathlonworld.com/athletes/id/btsui20203200101/",2001-03-02
"1920.15","PFNUER Franziska","/athletes/id/btger22206199901/","https://www.biathlonworld.com/athletes/id/btger22206199901/",1999-06-22
"1920.16","PASSLER Rebecca","/athletes/id/btita23108200101/","https://www.biathlonworld.com/athletes/id/btita23108200101/",2001-08-31
"1920.17","COMOLA Samuela","/athletes/id/btita23004199801/","https://www.biathlonworld.com/athletes/id/btita23004199801/",1998-04-30
"1920.18","KASTL Selina Marie","/athletes/id/btger23003200101/","https://www.biathlonworld.com/athletes/id/btger23003200101/",2001-03-30
"1920.19","VINKLARKOVA Tereza","/athletes/id/btcze20312199801/","https://www.biathlonworld.com/athletes/id/btcze20312199801/",1998-12-03
"1920.20","DOVGAYA Ksenia","/athletes/id/btrus20212199901/","https://www.biathlonworld.com/athletes/id/btrus20212199901/",1999-12-02
"1920.21","MUELLER Luise","/athletes/id/btger21010200001/","https://www.biathlonworld.com/athletes/id/btger21010200001/",2000-10-10
"1920.22","VOBORNIKOVA Tereza","/athletes/id/btcze23105200001/","https://www.biathlonworld.com/athletes/id/btcze23105200001/",2000-05-31
"1920.23","HERMANN Hanna-Michelle","/athletes/id/btger21302200001/","https://www.biathlonworld.com/athletes/id/btger21302200001/",2000-02-13
"1920.24","SUCHA Petra","/athletes/id/btcze22701199901/","https://www.biathlonworld.com/athletes/id/btcze22701199901/",1999-01-27
"1920.25","STANEK Patrycja","/athletes/id/btpol21301200101/","https://www.biathlonworld.com/athletes/id/btpol21301200101/",2001-01-13
"1920.26","BERTRAND Fany","/athletes/id/btfra20201200201/","https://www.biathlonworld.com/athletes/id/btfra20201200201/",2002-01-02
"1920.27","MACHYNIAKOVA Julia","/athletes/id/btsvk21006200001/","https://www.biathlonworld.com/athletes/id/btsvk21006200001/",2000-06-10
"1920.28","ZINGERLE Linda","/athletes/id/btita21409200201/","https://www.biathlonworld.com/athletes/id/btita21409200201/",2002-09-14
