"","Names","Links","url","dob"
"1920.1","ECKHOFF Tiril","/athletes/id/btnor22105199001/","https://www.biathlonworld.com/athletes/id/btnor22105199001/",1990-05-21 00:00:00
"1920.2","WIERER Dorothea","/athletes/id/btita20304199001/","https://www.biathlonworld.com/athletes/id/btita20304199001/",1990-04-03 00:00:00
"1920.3","SIMON Julia","/athletes/id/btfra20910199601/","https://www.biathlonworld.com/athletes/id/btfra20910199601/",1996-10-09 00:00:00
"1920.4","TANDREVOLD Ingrid Landmark","/athletes/id/btnor22309199601/","https://www.biathlonworld.com/athletes/id/btnor22309199601/",1996-09-23 00:00:00
"1920.5","HERRMANN Denise","/athletes/id/btger22010198801/","https://www.biathlonworld.com/athletes/id/btger22010198801/",1988-12-20 00:00:00
"1920.6","OEBERG Hanna","/athletes/id/btswe20211199501/","https://www.biathlonworld.com/athletes/id/btswe20211199501/",1995-11-02 00:00:00
"1920.7","ROEISELAND Marte Olsbu","/athletes/id/btnor20712199001/","https://www.biathlonworld.com/athletes/id/btnor20712199001/",1990-12-07 11:00:00
"1920.8","BRAISAZ Justine","/athletes/id/btfra20407199601/","https://www.biathlonworld.com/athletes/id/btfra20407199601/",1996-07-04 00:00:00
"1920.9","FIALKOVA Paulina","/athletes/id/btsvk22510199201/","https://www.biathlonworld.com/athletes/id/btsvk22510199201/",1992-10-25 00:00:00
"1920.10","MAKARAINEN Kaisa","/athletes/id/btfin21101198301/","https://www.biathlonworld.com/athletes/id/btfin21101198301/",1983-01-11 00:00:00
"1920.11","HAECKI Lena","/athletes/id/btsui20107199501/","https://www.biathlonworld.com/athletes/id/btsui20107199501/",1995-07-01 00:00:00
"1920.12","PERSSON Linn","/athletes/id/btswe22706199401/","https://www.biathlonworld.com/athletes/id/btswe22706199401/",1994-06-27 00:00:00
"1920.13","VITTOZZI Lisa","/athletes/id/btita20402199501/","https://www.biathlonworld.com/athletes/id/btita20402199501/",1995-02-04 00:00:00
"1920.14","DAVIDOVA Marketa","/athletes/id/btcze20301199701/","https://www.biathlonworld.com/athletes/id/btcze20301199701/",1997-01-03 00:00:00
"1920.15","MIRONOVA Svetlana","/athletes/id/btrus22202199401/","https://www.biathlonworld.com/athletes/id/btrus22202199401/",1994-02-22 00:00:00
"1920.16","PREUSS Franziska","/athletes/id/btger21103199401/","https://www.biathlonworld.com/athletes/id/btger21103199401/",1994-03-11 00:00:00
"1920.17","BRORSSON Mona","/athletes/id/btswe22803199001/","https://www.biathlonworld.com/athletes/id/btswe22803199001/",1990-03-28 00:00:00
"1920.18","KRYUKO Iryna","/athletes/id/btblr23007199101/","https://www.biathlonworld.com/athletes/id/btblr23007199101/",1991-07-30 00:00:00
"1920.19","BESCOND Anais","/athletes/id/btfra21505198701/","https://www.biathlonworld.com/athletes/id/btfra21505198701/",1987-05-15 00:00:00
"1920.20","PIDHRUSHNA Olena","/athletes/id/btukr20901198701/","https://www.biathlonworld.com/athletes/id/btukr20901198701/",1987-01-09 00:00:00
"1920.21","ZUK Kamila","/athletes/id/btpol21811199701/","https://www.biathlonworld.com/athletes/id/btpol21811199701/",1997-11-18 00:00:00
"1920.22","YURLOVA-PERCHT Ekaterina","/athletes/id/btrus22302198502/","https://www.biathlonworld.com/athletes/id/btrus22302198502/",1985-02-23 00:00:00
"1920.23","CHARVATOVA Lucie","/athletes/id/btcze20102199301/","https://www.biathlonworld.com/athletes/id/btcze20102199301/",1993-02-01 00:00:00
"1920.24","INNERHOFER Katharina","/athletes/id/btaut21701199101/","https://www.biathlonworld.com/athletes/id/btaut21701199101/",1991-01-17 00:00:00
"1920.25","HOJNISZ-STAREGA Monika","/athletes/id/btpol22708199101/","https://www.biathlonworld.com/athletes/id/btpol22708199101/",1991-08-27 00:00:00
"1920.26","HAUSER Lisa Theresa","/athletes/id/btaut21612199301/","https://www.biathlonworld.com/athletes/id/btaut21612199301/",1993-12-16 00:00:00
"1920.27","EDER Mari","/athletes/id/btfin20911198701/","https://www.biathlonworld.com/athletes/id/btfin20911198701/",1987-11-09 00:00:00
"1920.28","OEBERG Elvira","/athletes/id/btswe22602199901/","https://www.biathlonworld.com/athletes/id/btswe22602199901/",1999-02-26 00:00:00
"1920.29","KRISTEJN PUSKARCIKOVA Eva","/athletes/id/btcze20301199101/","https://www.biathlonworld.com/athletes/id/btcze20301199101/",1991-01-03 00:00:00
"1920.30","KNOTTEN Karoline Offigstad","/athletes/id/btnor20601199501/","https://www.biathlonworld.com/athletes/id/btnor20601199501/",1995-01-06 00:00:00
"1920.31","KUKLINA Larisa","/athletes/id/btrus21212199001/","https://www.biathlonworld.com/athletes/id/btrus21212199001/",1990-12-12 00:00:00
"1920.32","HINZ Vanessa","/athletes/id/btger22403199201/","https://www.biathlonworld.com/athletes/id/btger22403199201/",1992-03-24 00:00:00
"1920.33","DZHIMA Yuliia","/athletes/id/btukr21909199001/","https://www.biathlonworld.com/athletes/id/btukr21909199001/",1990-09-19 00:00:00
"1920.34","SEMERENKO Valj","/athletes/id/btukr21801198601/","https://www.biathlonworld.com/athletes/id/btukr21801198601/",1986-01-18 00:00:00
"1920.35","LUNDER Emma","/athletes/id/btcan20209199101/","https://www.biathlonworld.com/athletes/id/btcan20209199101/",1991-09-02 00:00:00
"1920.36","AYMONIER Celia","/athletes/id/btfra20508199101/","https://www.biathlonworld.com/athletes/id/btfra20508199101/",1991-08-05 00:00:00
"1920.37","BRUN-LIE Thekla","/athletes/id/btnor20209199201/","https://www.biathlonworld.com/athletes/id/btnor20209199201/",1992-09-02 00:00:00
"1920.38","SEMERENKO Vita","/athletes/id/btukr21801198602/","https://www.biathlonworld.com/athletes/id/btukr21801198602/",1986-01-18 00:00:00
"1920.39","DUNKLEE Susan","/athletes/id/btusa22502198301/","https://www.biathlonworld.com/athletes/id/btusa22502198301/",1986-02-13 00:00:00
"1920.40","GASPARIN Selina","/athletes/id/btsui20304198401/","https://www.biathlonworld.com/athletes/id/btsui20304198401/",1984-04-03 00:00:00
"1920.41","BLASHKO Darya","/athletes/id/btblr22801199601/","https://www.biathlonworld.com/athletes/id/btblr22801199601/",1996-01-28 00:00:00
"1920.42","BENDIKA Baiba","/athletes/id/btlat22706199101/","https://www.biathlonworld.com/athletes/id/btlat22706199101/",1991-06-27 00:00:00
"1920.43","SOLA Hanna","/athletes/id/btblr21602199601/","https://www.biathlonworld.com/athletes/id/btblr21602199601/",1996-02-16 00:00:00
"1920.44","ZBYLUT Kinga","/athletes/id/btpol21004199501/","https://www.biathlonworld.com/athletes/id/btpol21004199501/",1995-04-10 00:00:00
